locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	等角投影、等轴测投影	
cmn-Latn-CN	děngjiǎo tóuyǐng, děngzhóucè tóuyǐng	
dan-Latn-DK		
deu-Latn-DE	isometrische Darstellung	
eng-Latn-US	isometric projection	
fin-Latn-FI		
fra-Latn-FR	perspective [f] isométrique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	とうかくず、とうかくとうえいず	
jpn-Jpan-JP	等角図、等角投影図	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	изометри́ческая прое́кция	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
