locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	勒沙特列原理、勒夏特列原理、平衡移动原理	
cmn-Latn-CN	Lè Shātèliè yuánlǐ, Lè Xiàtèliè yuánlǐ, pínghéng yídòng yuánlǐ	
dan-Latn-DK		
deu-Latn-DE	Prinzip [n] vom kleinsten Zwang [m], Prinzip [n] von Le Chatelier	
eng-Latn-US	Chatelier’s principle, Le Chatelier’s principle	
fin-Latn-FI		
fra-Latn-FR	principe de Le Chatelier, principe de Le Chatelier-Braun, principe de modération, principe de modération de Le Chatelier	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ルシャトリエのげんり、ルシャトリエのほうそく、ルシャトリエ＝ブラウンのげんり	
jpn-Jpan-JP	ルシャトリエの原理、ルシャトリエの法則、ルシャトリエ＝ブラウンの原理	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	при́нцип Ле Шателье́ — Бра́уна	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
