locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	洛伦兹力	
cmn-Latn-CN	Luòlúnzī lì	
dan-Latn-DK		
deu-Latn-DE	Lorentzkraft [f]	
eng-Latn-US	Lorentz force, electromagnetic force	electromagnetic field; force; point charge; velocity
fin-Latn-FI		
fra-Latn-FR	force [f] de Lorentz, force [f] électromagnétique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ローレンツりょく	
jpn-Jpan-JP	ローレンツ力	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	си́ла Ло́ренца	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
