locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	混悬剂、悬胶、悬液、悬浮剂、悬浮液、悬液剂、悬浊液	
cmn-Latn-CN	hùnxuán jì, xuán jiāo, xuán yè, xuánfú jì, xuánfú yè, xuányè jì, xuánzhuó yè	
dan-Latn-DK		
deu-Latn-DE	Suspension (Chemie)	
eng-Latn-US	suspension (chemistry)	
fin-Latn-FI		
fra-Latn-FR	suspension (chimie)	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	けんだくえき	
jpn-Jpan-JP	懸濁液	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	суспе́нзия и́ли взвесь	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
