locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	引力、重力	
cmn-Latn-CN	yǐn lì, zhòng lì	
dan-Latn-DK		
deu-Latn-DE	Gravitation, Gravitationskraft	
eng-Latn-US	gravitation, gravity	calorific value, energy value, heat of combustion, heating value, energy, fundamental forces, fundamental interactions
fin-Latn-FI		
fra-Latn-FR	gravitation	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	じゅうりょく	
jpn-Jpan-JP	重力	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	всеми́рное тяготе́ние, гравита́ция, притяже́ние, тяготе́ние	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ		
