locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	李纳-维谢势	
cmn-Latn-CN	Lǐnà-Wéixiè shì	
dan-Latn-DK		
deu-Latn-DE	Liénard-Wiechert-Potentiale	
eng-Latn-US	Liénard–Wiechert potentials	Lorenz gauge condition, Lorenz gauge; electric charge; scalar potential; vector potential
fin-Latn-FI		
fra-Latn-FR	potentiels [m-pl] de Liénard-Wiechert	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	リエナール・ヴィーヘルト・ポテンシャル	
jpn-Jpan-JP	リエナール・ヴィーヘルト・ポテンシャル	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	потенциа́лы Лиена́ра — Ви́херта	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zsym-ZZ		
