locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	电动势	
cmn-Latn-CN	diàndòng shì	
dan-Latn-DK		
deu-Latn-DE	elektromotorische Kraft	
eng-Latn-US	electromotance, electromotive force	electric charge; energy
fin-Latn-FI		
fra-Latn-FR	force électromotrice, électromotance	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	きでんりょく	
jpn-Jpan-JP	起電力	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
por-Latn-PT		
rus-Cyrl-RU	электродви́жущая си́ла	
spa-Latn-ES		
swe-Latn-SE		
zxx-Zsym-ZZ	ℰ, 𝜉
